"contrast","estimate","SE","df","t.ratio","p.value","variable"
"C2_zoom - C0_baseline",0.642275508982431,3.00590403515153,165,0.213671328649071,0.998285168692316,"enemies_alive_mean"
"C3_recoil - C0_baseline",-3.37858693489402,2.77130658864356,165,-1.21913141935974,0.679567651684474,"enemies_alive_mean"
"C4_shake_zoom - C0_baseline",-1.06383024001985,2.71429075771648,165,-0.391936728589401,0.987999969503628,"enemies_alive_mean"
"C5_shake_recoil - C0_baseline",-1.26564099176074,2.91433208890611,165,-0.434281664940866,0.983422606108702,"enemies_alive_mean"
"C6_zoom_recoil - C0_baseline",1.44695616550934,3.00590403515153,165,0.481371377325555,0.977134958266351,"enemies_alive_mean"
"C7_all - C0_baseline",-1.21691347817235,3.11658763693254,165,-0.390463423441569,0.988142002512865,"enemies_alive_mean"
"C1_shake - C0_baseline",6.64162912647529,21.1497253561819,165,0.314029095632392,0.994071333469023,"nearest_enemy_dist_mean"
"C2_zoom - C0_baseline",1.42621204863289,22.9400980212769,165,0.0621711401280882,0.999969407944491,"nearest_enemy_dist_mean"
"C3_recoil - C0_baseline",20.4247834678087,21.1497253561819,165,0.965723342683436,0.822539270858749,"nearest_enemy_dist_mean"
"C4_shake_zoom - C0_baseline",30.9169529679491,20.7145987736509,165,1.49252000030411,0.504367856579746,"nearest_enemy_dist_mean"
"C5_shake_recoil - C0_baseline",61.0598483533039,22.2412502209801,165,2.74534244912664,0.0394619066403623,"nearest_enemy_dist_mean"
"C6_zoom_recoil - C0_baseline",20.8962026365214,22.9400980212769,165,0.910902935861051,0.848612336741757,"nearest_enemy_dist_mean"
"C7_all - C0_baseline",-3.4016118376018,23.7847998628899,165,-0.143016206031195,0.999534893072231,"nearest_enemy_dist_mean"
"C1_shake - C0_baseline",0,0,165,,,"projectiles_alive_mean"
"C2_zoom - C0_baseline",0,0,165,,,"projectiles_alive_mean"
"C3_recoil - C0_baseline",0,0,165,,,"projectiles_alive_mean"
"C4_shake_zoom - C0_baseline",0,0,165,,,"projectiles_alive_mean"
"C5_shake_recoil - C0_baseline",0,0,165,,,"projectiles_alive_mean"
"C6_zoom_recoil - C0_baseline",0,0,165,,,"projectiles_alive_mean"
"C7_all - C0_baseline",0,0,165,,,"projectiles_alive_mean"
"C1_shake - C0_baseline",0.0239582404992829,0.0176029188895879,165,1.36103794203439,0.589309168583164,"low_hp_ratio"
"C2_zoom - C0_baseline",-0.00837827778076987,0.0190930462683149,165,-0.438813045494669,0.982874073376161,"low_hp_ratio"
"C3_recoil - C0_baseline",-0.00321598971995595,0.0176029188895879,165,-0.182696389168628,0.998968230591767,"low_hp_ratio"
"C4_shake_zoom - C0_baseline",-0.00934710951458085,0.0172407629840145,165,-0.542151732104167,0.966983281349337,"low_hp_ratio"
"C5_shake_recoil - C0_baseline",0.00627389443049491,0.0185113951623256,165,0.33892066888959,0.992435671894845,"low_hp_ratio"
"C6_zoom_recoil - C0_baseline",-0.00210290252066353,0.0190930462683149,165,-0.110139706944162,0.999801620699852,"low_hp_ratio"
"C7_all - C0_baseline",-0.0185594546286134,0.0197960917099642,165,-0.937531251144469,0.836201860634451,"low_hp_ratio"
"C1_shake - C0_baseline",-0.915510987750246,2.77647218053917,165,-0.329738937838902,0.993070262746139,"fps_mean"
"C2_zoom - C0_baseline",-0.733836577222947,3.01150690622562,165,-0.243677534229094,0.997377099727641,"fps_mean"
"C3_recoil - C0_baseline",-1.34901458702975,2.77647218053917,165,-0.485873619222717,0.976463797710037,"fps_mean"
"C4_shake_zoom - C0_baseline",0.642426430419771,2.71935007464585,165,0.236242636212786,0.997626899923297,"fps_mean"
"C5_shake_recoil - C0_baseline",-1.61777280752871,2.91976427395602,165,-0.554076512942865,0.964706336510379,"fps_mean"
"C6_zoom_recoil - C0_baseline",1.71656008224935,3.01150690622562,165,0.570000380441017,0.961514563779153,"fps_mean"
"C7_all - C0_baseline",2.04313955565033,3.12239681730445,165,0.654349743225194,0.941618295558066,"fps_mean"
"C1_shake - C0_baseline",1.30092592592592,3.31907793733942,165,0.391954015689292,0.987998296296125,"fps_min"
"C2_zoom - C0_baseline",-2.12962962962964,3.60004548241421,165,-0.591556312283448,0.956913589807594,"fps_min"
"C3_recoil - C0_baseline",0.550925925925919,3.31907793733942,165,0.165987643654895,0.999244602060113,"fps_min"
"C4_shake_zoom - C0_baseline",1.66951566951566,3.25079246243577,165,0.513571902484577,0.972054170981792,"fps_min"
"C5_shake_recoil - C0_baseline",-0.257407407407415,3.4903735941764,165,-0.0737478096433267,0.999946518974738,"fps_min"
"C6_zoom_recoil - C0_baseline",1.81481481481481,3.60004548241421,165,0.504108857424152,0.973615611997829,"fps_min"
"C7_all - C0_baseline",4.71759259259259,3.73260660076973,165,1.26388690188238,0.651543739670022,"fps_min"
"C1_shake - C0_baseline",0.0913967908646235,0.0745008790746894,165,1.22678808625863,0.674813140525619,"fps_drop_ratio"
"C2_zoom - C0_baseline",0.164803967845478,0.0808075490278235,165,2.03946252334336,0.207704848079821,"fps_drop_ratio"
"C3_recoil - C0_baseline",0.048939170932848,0.0745008790746894,165,0.656893872135187,0.940937943973406,"fps_drop_ratio"
"C4_shake_zoom - C0_baseline",0.0920014150955154,0.0729681257002891,165,1.26084388508763,0.653465690804739,"fps_drop_ratio"
"C5_shake_recoil - C0_baseline",0.138373042361089,0.0783458255498725,165,1.76618270839465,0.339240174430257,"fps_drop_ratio"
"C6_zoom_recoil - C0_baseline",0.0270441677962788,0.0808075490278235,165,0.33467377889369,0.992733831758958,"fps_drop_ratio"
"C7_all - C0_baseline",0.0446938912734468,0.0837830500660808,165,0.533447889975312,0.968584824208294,"fps_drop_ratio"
