"effect","variable","df","sum_sq","mean_sq","f_value","p_value","partial_eta_squared"
"Residuals","input_rate",165,191.286295191482,1.15931087994837,,,
"camera_recoil","distance_rate",1,163.919190236549,163.919190236549,0.131983623777082,0.716849167396648,0.000799261420354414
"camera_shake","distance_rate",1,1573.99867200815,1573.99867200815,1.26734428258315,0.261900263340139,0.00762232829333709
"camera_shake:camera_recoil","distance_rate",1,8131.57945136445,8131.57945136445,6.54734397768541,0.0114029453120991,0.0381663966685318
"camera_shake:camera_zoom","distance_rate",1,993.904614530035,993.904614530035,0.80026708602657,0.37231659618255,0.00482669358796235
"camera_shake:camera_zoom:camera_recoil","distance_rate",1,374.575282388545,374.575282388545,0.301598629639527,0.583624406172115,0.00182453546813702
"camera_zoom","distance_rate",1,444.380921811521,444.380921811521,0.357804381008999,0.550548342973729,0.00216381913359568
"camera_zoom:camera_recoil","distance_rate",1,1391.14461274857,1391.14461274857,1.12011477682119,0.291440685446407,0.00674280040274497
"Residuals","distance_rate",165,204924.411188405,1241.96612841458,,,
"camera_recoil","speed_mean",1,105.95435116027,105.95435116027,0.0858466008008996,0.769893436378645,0.000520011876054328
"camera_shake","speed_mean",1,1483.09735281843,1483.09735281843,1.20163886619142,0.274591727227196,0.00723000612020955
"camera_shake:camera_recoil","speed_mean",1,3744.18178387656,3744.18178387656,3.03362037902769,0.0834194440511189,0.0180536512406556
"camera_shake:camera_zoom","speed_mean",1,735.779874502732,735.779874502732,0.59614541991039,0.441156982675365,0.00359999575110106
"camera_shake:camera_zoom:camera_recoil","speed_mean",1,49.2428540899065,49.2428540899065,0.0398976690533336,0.841926748242154,0.00024174559980241
"camera_zoom","speed_mean",1,797.413591931669,797.413591931669,0.646082445412948,0.422673282328641,0.00390037866199376
"camera_zoom:camera_recoil","speed_mean",1,235.861436749265,235.861436749265,0.191100246315634,0.662574062590098,0.00115684347419858
"Residuals","speed_mean",165,203647.759822091,1234.22884740661,,,
"camera_recoil","enemies_alive_mean",1,79.9925275261029,79.9925275261029,0.819738704529687,0.366576731213056,0.00494355322794448
"camera_shake","enemies_alive_mean",1,0.100391604139441,0.100391604139441,0.00102878213838247,0.974451298068203,6.23500438740194e-06
"camera_shake:camera_recoil","enemies_alive_mean",1,1.33841535579289,1.33841535579289,0.0137156669980491,0.906912222157994,8.31183453000215e-05
"camera_shake:camera_zoom","enemies_alive_mean",1,162.200244959245,162.200244959245,1.66217799073672,0.199113935043266,0.00997333654687452
"camera_shake:camera_zoom:camera_recoil","enemies_alive_mean",1,10.6242796590532,10.6242796590532,0.108874335061253,0.74184788818075,0.000659409347315338
"camera_zoom","enemies_alive_mean",1,23.2693762725383,23.2693762725383,0.238457377842449,0.625970835912575,0.00144311065127642
"camera_zoom:camera_recoil","enemies_alive_mean",1,105.959418626642,105.959418626642,1.0858393808019,0.298919300908285,0.00653782035151285
"Residuals","enemies_alive_mean",165,16101.1880601387,97.5829579402346,,,
"camera_recoil","nearest_enemy_dist_mean",1,11659.0653039453,11659.0653039453,2.05139569984126,0.153958454594551,0.0122800273008626
"camera_shake","nearest_enemy_dist_mean",1,9111.47589642053,9111.47589642053,1.60315102333284,0.207241916341647,0.00962257324357762
"camera_shake:camera_recoil","nearest_enemy_dist_mean",1,652.78157836103,652.78157836103,0.114855975833008,0.735112902099227,0.00069561260950268
"camera_shake:camera_zoom","nearest_enemy_dist_mean",1,1911.18305966148,1911.18305966148,0.336269898829054,0.562781253655887,0.00203385439283722
"camera_shake:camera_zoom:camera_recoil","nearest_enemy_dist_mean",1,20148.5648027738,20148.5648027738,3.5451108744023,0.0614812386737841,0.0210336025531116
"camera_zoom","nearest_enemy_dist_mean",1,1564.3165298175,1564.3165298175,0.275239233918032,0.600542842961773,0.00166533859030438
"camera_zoom:camera_recoil","nearest_enemy_dist_mean",1,20734.0358349025,20734.0358349025,3.64812365684929,0.0578671996528884,0.0216315697900806
"Residuals","nearest_enemy_dist_mean",165,937774.109256365,5683.47945003858,,,
"camera_recoil","projectiles_alive_mean",1,0,0,,,
"camera_shake","projectiles_alive_mean",1,0,0,,,
"camera_shake:camera_recoil","projectiles_alive_mean",1,0,0,,,
"camera_shake:camera_zoom","projectiles_alive_mean",1,0,0,,,
"camera_shake:camera_zoom:camera_recoil","projectiles_alive_mean",1,0,0,,,
