"player_id","run_id","supabase_row_number","cond","shake","zoom","recoil","n_effects","imm_total","imm_atraccion","imm_foco","imm_presencia","end_reason","ingame_survival_s","total_kills","kill_rate","kills_per_min","input_total","input_rate","inputs_per_min","dmg_per_min_2m","hits_per_min_2m","damage_amount_per_min_2m","dmg_per_min","hits_per_min","enemies_mean","fps_mean","bg_frequency","bg_hours_7d","bg_experience","imm_q1","imm_q2","imm_q3","imm_q4","imm_q5","imm_q6","imm_q7","imm_q8","imm_q9","imm_q10","imm_q11","imm_q12","imm_q13","imm_q14","imm_q15","imm_q16","imm_q17","imm_q18","imm_q19","imm_q20","imm_q21","imm_q22","imm_q23","imm_q24","shake_num","zoom_num","recoil_num","duration_min","hits_total_est","damage_amount_total_est","treatment","Shake","Zoom","Recoil","person_row_index"
"C6E428","e7a3224f-83fb-4c12-8455-7055cd163174",161,110,1,1,0,2,3.083,4.375,3,1.875,"win",276,435,1,94.565,794,1.825287,172.609,8,8,8,45.87,45.87,29.5668841762,45.3633768352,"Varias veces por semana","2–5 horas","Intermedio",5,5,3,5,5,5,5,2,5,5,2,1,2,3,3,3,4,2,2,2,1,1,2,1,1,1,0,4.6,211,211.002,"Shake + Zoom","Presente","Presente","Ausente",1
"C6E448","4eefb700-f3e5-46fc-b13e-88efb939c15b",56,1,0,0,1,1,3.208,4.25,3.125,2.25,"win",283,435,0.939525,92.226,481,1.038877,101.979,13.5,13.5,13.5,25.23,25.23,35.9827302632,59.9958881579,"Varias veces por semana","6–10 horas","Avanzado",3,5,5,5,5,5,5,1,5,3,3,3,1,2,4,4,1,1,2,1,1,5,4,3,0,0,1,4.71666666666667,119,119.0015,"Recoil","Ausente","Ausente","Presente",1
"C6E631","8e67c14b-098a-4790-8301-ab832419230f",103,101,1,0,1,2,3.375,4.75,2.625,2.75,"win",278,435,1.055825,93.885,838,2.033981,180.863,5.5,5.5,5.5,7.122,7.338,39.0624219725,59.5555555556,"Diario","6–10 horas","Experto",5,5,4,5,5,5,5,4,3,4,1,2,2,5,3,1,3,2,4,4,2,3,2,2,1,0,1,4.63333333333333,34,32.9986,"Shake + Recoil","Presente","Ausente","Presente",1
"C6E738","035e4ae5-9b01-49a1-80bb-bfd33381c569",3,101,1,0,1,2,3.083,5,1.875,2.375,"win",232,435,1.25,112.5,408,1.172414,105.517,2,2,2,4.138,4.397,29.1088911089,59.8496503497,"Diario","11–20 horas","Experto",5,5,5,5,5,5,5,5,1,1,1,3,1,4,2,2,3,1,2,1,1,4,4,3,1,0,1,3.86666666666667,17,16.0002666666667,"Shake + Recoil","Presente","Ausente","Presente",1
"C6E800","81897b06-fd81-4935-9f3e-1c168deb59e9",95,0,0,0,0,0,3.958,4.125,4.25,3.5,"win",447,435,0.747423,58.389,1144,1.965636,153.557,20,20,20,51.409,51.409,44.6152073733,57.9156682028,"Diario","Menos de 2 horas","Experto",3,5,2,5,5,5,5,3,5,4,5,3,5,4,4,4,5,4,3,5,5,2,1,3,0,0,0,7.45,383,382.99705,"Control","Ausente","Ausente","Ausente",1
"C6E934","afaa0155-d8f3-4a19-a679-8ef47249787c",123,110,1,1,0,2,3.083,4.5,2.25,2.5,"win",172,435,1.440397,151.744,279,0.923841,97.326,4.5,4.5,4.5,4.535,4.884,32.2865636147,59.935196195,"Varias veces por semana","2–5 horas","Intermedio",5,5,4,5,5,4,5,3,1,1,3,3,2,4,3,1,3,3,2,2,1,4,3,2,1,1,0,2.86666666666667,14,13.0003333333333,"Shake + Zoom","Presente","Presente","Ausente",1
"C6E968","7033731e-be72-49f3-a158-88e7c4890a67",84,101,1,0,1,2,2.333,3.25,2,1.75,"death",483,434,0.724541,53.913,418,0.69783,51.925,4,4,4,16.17,7.081,55.2727060472,50.501751109,"Rara vez","Menos de 2 horas","Principiante",1,5,2,5,5,5,2,1,5,5,1,1,1,1,1,1,1,1,1,1,2,5,2,1,1,0,1,8.05,57,130.1685,"Shake + Recoil","Presente","Ausente","Presente",1
"C6E975","692afeaf-88db-4284-976e-beeee8413b96",74,110,1,1,0,2,3.375,5,2.75,2.375,"death",442,434,0.724541,58.914,764,1.275459,103.71,4.5,4.5,4.5,22.262,8.824,41.7766419627,49.4571939688,"Una vez por semana","Menos de 2 horas","Avanzado",5,5,5,5,5,5,5,5,5,5,4,2,1,3,1,1,3,2,1,3,2,5,2,1,1,1,0,7.36666666666667,65,163.996733333333,"Shake + Zoom","Presente","Presente","Ausente",1
"C6F079","5301e41a-4687-4d81-abd5-9103dd9d50e5",61,101,1,0,1,2,2.833,3,2.25,3.25,"win",142,435,1.126943,183.803,204,0.528497,86.197,7,7,7,7.606,8.451,29.8139723802,59.296506905,"Varias veces por semana","Menos de 2 horas","Intermedio",3,3,3,3,3,3,4,2,2,2,2,1,1,5,3,2,3,1,2,5,4,4,2,5,1,0,1,2.36666666666667,20,18.0008666666667,"Shake + Recoil","Presente","Ausente","Presente",1
"C6F087","51e201a5-8671-4003-b7bf-2453a27f8181",59,11,0,1,1,2,3.833,4.125,4.5,2.875,"death",444,434,0.724541,58.649,878,1.465776,118.649,23.5,23.5,23.5,90.881,80.676,36.5120999219,59.3380171741,"Varias veces por semana","Menos de 2 horas","Intermedio",5,5,4,4,3,4,4,4,5,5,4,4,5,4,5,4,2,4,4,2,2,4,4,1,0,1,1,7.4,597,672.5194,"Zoom + Recoil","Ausente","Presente","Presente",1
