id,run_id,damage_source,total_damage,total_kills
23be6aca-9cb4-4c20-9c5f-a4cbb0b9de77,8d3951ff-68f5-4229-abc8-b0e014ccf3e4,arrow,4304.20605581961,1059
242bba51-4bda-450f-a673-f619fae9d166,5301e41a-4687-4d81-abd5-9103dd9d50e5,death_arrows,591.453224999999,171
24a9f495-5ddd-4a6d-8e33-4b74bb0c65e9,cacce394-6c33-4073-8334-66ead8905bb1,aura,11.768,3
24b63c25-7629-4b03-bca7-412b735e22d4,36f78638-69ff-473d-91cc-cd779e015bf1,death_arrows,206.39222,44
24dbc609-40b0-4018-a632-831419987922,dc71cb76-5231-40eb-9cb1-dd33e312d796,arrow,2088.69438713999,631
24f9e8c9-2ef7-428c-9842-1c6f94e1d89a,5ad6173a-e8c5-467c-84e4-239f7bafba3f,arrow,1846.09010556437,452
251d2df6-cb76-45d9-ad20-4dc9d6739383,a237dbf8-beeb-4a59-ab92-d49219739e0e,burn,173.3739,41
26b7a240-ab26-4938-84e2-67ba7b421011,aa655d65-e325-4f24-aa9d-7f7fc515f2aa,death_arrows,132.28896125,79
26e77aec-7f97-47f1-908b-f111a2150a64,42f13b81-8a0e-4acd-8ce8-8270f40d08b1,burn,489.042355699999,254
27475168-ec85-4012-8370-f1e46fb7f9e4,866ae6ff-f11a-48a5-80c4-82cc30f73382,arrow,4562.1415,1367
277a3800-92d2-4a85-abc3-5cacea883c80,634e38f9-b18e-4f50-9032-7a9cd74c0cb3,burn,109.049,61
28033b9f-8a24-4ead-90ff-9f758de52775,81b98eed-3c9b-4dac-a7cf-101b8d758192,death_arrows,156.378,89
28386dfd-1788-496d-b3e9-264fe3354501,7cbc6bac-31b7-4341-8e27-9e0e39ea6ad5,arrow,3618.76252512002,929
287dbce9-2cc3-41b3-9224-5552fd438787,02f1bdb0-befd-484c-bafd-e0885d364786,aura,110.2915,30
29075e7e-694d-4ede-8365-8bfc7aa25ae8,06fe9657-81a8-498e-98e3-7a0a247229de,arrow,263.848615,181
29c29a55-585d-47cb-a132-806a19b61a2a,32d9bf5b-89d1-4916-895e-c95307c39b07,aura,120.427375,22
29cbdf7f-72d9-4836-9a6c-37a9a63c66f6,b7c48a10-1c42-43c1-bc58-ece266868745,death_arrows,1775.69904320001,521
2b474c5c-e631-4a6a-96fa-57a9783fb782,02f1bdb0-befd-484c-bafd-e0885d364786,burn,355.41098,99
2c2d28c5-eaca-442e-ab1a-21ab781bec7c,b6337ca6-0416-46b6-a9ed-a78d8ea4fa08,aura,30.686432,7
2c8a03a7-ea05-423e-8237-5515f4f826ed,a8d1c687-19dd-45e2-9790-065afb18364c,arrow,1399.49866504762,416
2d7dab9b-d418-46f3-9399-38e5701870ee,54448c6e-91f8-473c-9073-92b6e431d4a0,burn,56.249375,50
2deb9497-446a-4e3a-abd2-4c6ecd056132,bd717d47-60ae-4fdb-a0cb-1c515c1c3f27,death_arrows,1293.31008000001,347
2e50386d-e0a0-4f19-9992-81b5f77800d8,7031b138-ad7f-4da4-a7d4-d8b5e3ecd4df,death_arrows,500.270288,146
2e54a23c-b18e-401a-944b-fef2daa814c6,f09784ea-cb6a-4d4f-8b68-c36060821e1a,aura,1440.93243719997,391
2ee21844-a9a6-4568-ae4f-fff37ad97c7f,67c16107-bd12-4c96-ac7e-51da750aa2c3,death_arrows,212.231,47
314cb023-c781-4ca5-a369-78513ba33507,a87a8604-d3a5-44e7-935f-4c2dc8365229,aura,69.3000000000004,4
31d1a2b2-21a3-4e30-b667-2c0b974b9505,9d8bbd50-38f6-4adb-b6bd-75316bcbdefc,arrow,415.1981,279
320b2fac-7825-40fd-87b2-312f6a7abc69,9e43f054-b7f0-4a0e-ab92-f14b62b69f0f,arrow,2937.82096951586,937
323faab6-c31c-4549-b40e-33d162b2c670,42f13b81-8a0e-4acd-8ce8-8270f40d08b1,arrow,1761.69463730553,453
33183fc5-2188-4371-88a6-6edf8fb973d3,4bfb2dd5-6f1f-475f-8dfa-3073d34d9f8a,aura,237.184245,50
343c20ff-924c-414c-9772-619441889e31,00cb4abd-c3c4-445a-9e1a-4eef1cd73545,burn,31.4944571999999,8
344ec4c6-bc17-4ef5-9551-4c53e275798e,7031b138-ad7f-4da4-a7d4-d8b5e3ecd4df,arrow,1154.89759283334,361
34814be3-1805-4ea7-aa6f-9bb64bd9133f,f106d89b-85f7-40bb-9334-c29f021612d0,arrow,2236.21869773065,651
3509d2e6-2749-489c-b64a-cbdfaecfed6b,5f346316-7b98-4fed-9d5e-0aace5ac2f77,arrow,3045.27320000001,951
35462221-952b-445c-aa2f-37bf1a97e834,9d8bbd50-38f6-4adb-b6bd-75316bcbdefc,death_arrows,70.8122,38
3632da43-a913-447d-9c00-9e82d409df10,f5a67edd-38e5-474f-b534-8a441e3b4aa9,death_arrows,1478.59879003,497
36a81156-5e28-4023-a54e-674afbe84833,342b9a7e-5e72-4d0d-b90e-57947496b99e,aura,83.5516,11
37b445fe-bcf8-4ba0-b515-d03739e4b47c,7033731e-be72-49f3-a158-88e7c4890a67,aura,280.94329491,64
38e7b32f-4aa4-4c7e-8adb-7611486c0189,6f344d23-060f-487f-9a19-960432103187,arrow,3503.72185327776,881
38ef9058-9656-49c2-90f9-4834c9cfd6b0,f09784ea-cb6a-4d4f-8b68-c36060821e1a,arrow,3767.8989094,1060
391f59e7-e158-4530-9bd8-8e40462d73d5,525e6543-d63d-4785-b687-fc62572801c7,burn,10.55,20
397a9347-c640-41ff-850e-e1adb5578141,1004050c-e64e-441a-b2d5-113a08160a55,burn,179.0175,32
3a450b73-dc9f-4c3a-b37e-fd07517a3dc1,fd75850e-6df8-4c86-8241-884da7ee6142,aura,253.60235999999,21
3aa8cb83-2b72-47d4-a633-a7ecd89f30db,e9ae714c-6ca4-414d-87d9-e968c35ebfe2,burn,253.06,113
3b236d00-c247-4165-ae94-fd3fc99a57b1,0c266f69-0927-4d71-b084-d2a9b2ea6880,arrow,1140.88505282366,446
3c2e5a99-b44f-41c0-8ede-d9db535df1ae,09726140-1472-4f52-8046-609564f04c30,arrow,2163.216125,634
3c3a11ad-fbbb-40c7-bb29-9bb75eb0222b,70148665-4c49-4e80-9e8d-bfddc9aaebd0,arrow,4885.97734812502,1210
3c668af0-eec6-4de0-a733-e9558dcfd475,b2ea2a8d-0698-437a-ab5a-fe0d53f8e384,arrow,2007.18709354761,532
3c71b435-99fb-4193-9b9a-6398cd959025,39139dd7-19b0-4fa3-9fb3-94f2cdf42553,aura,102.09148,24
3ccca082-03fd-44c8-961e-7155459d752a,7977afbe-8e55-42c2-93d8-26664e97cf4e,death_arrows,2238.88509812493,547
3d6808af-3375-4343-a8c6-c3382b16c320,fd1e77bb-7d0a-4c7f-8dbc-66e1a1900f98,arrow,1419.23647676191,431
3d6894a4-d73e-458c-9c28-02df5015f966,e8892054-5eeb-4a73-888c-042ff814e38b,arrow,2170.51076727776,641
3d9ee2df-025c-4417-bea3-cb4dce0493f0,c26f96e0-4ce9-4a54-9f0d-d845d54f3f5e,arrow,3344.33095635001,872
40e45435-e2a9-41de-9056-e94f4fd715c2,fb7c8cf5-1b21-4341-97b6-8afa63bbea89,arrow,3286.47512112698,873
4134a4ca-8345-4fdd-a644-e605aa37f1cb,e8e70be3-66e8-4abd-8157-b58ad3ccc5e4,arrow,1978.2865915,555
416bb8a8-f486-4cd9-9be5-4159018924da,bb33ae0e-0e76-43dc-8d46-8bc833341d89,death_arrows,178.502625,78
