id,run_id,game_time_seconds,round,enemy_type,damage_type,damage_amount,hp_before_hit,hp_after_hit
00ca9cf1-cc52-4d0a-a25e-0b62ae8aff50,f09784ea-cb6a-4d4f-8b68-c36060821e1a,376,5,king,arrow,1.0,31.1419134000182,30.1419134000182
00ccac8d-0ca9-416d-bcf6-dd0d9f98d9c4,692afeaf-88db-4284-976e-beeee8413b96,240,5,necromancer,following_projectile,1.0,75.0,74.0
00cd5fe7-6776-4062-aa4e-6f5629423dd8,6f7225e5-b6d0-4c5c-aa6a-bbe232c5997d,128,4,archer,arrow,1.0,90.9998139888942,89.9998139888942
00d4d812-753d-46f0-a5a9-42078b8da282,288dd9db-2943-40d4-bfae-52d4a488fa95,181,5,king,arrow,1.0,193.224912400002,192.224912400002
00dcc8c9-7431-4083-85e0-bb7e05a10504,c2df6f2d-07f9-4a83-8136-fc23784b3bfd,132,5,king,arrow,1.0,54.4614992550341,53.4614992550341
00e4cdb9-31c1-44bb-8b00-7d6717d5f08e,00cb4abd-c3c4-445a-9e1a-4eef1cd73545,85,5,king,arrow,1.0,46.1999999999997,45.1999999999997
00e7e941-cf96-48fe-9f9c-f9421308194d,6f7225e5-b6d0-4c5c-aa6a-bbe232c5997d,26,1,enemy,contact,1.0,72.0,71.0
00ea7424-5963-427f-814b-6283ee13904e,e7a3224f-83fb-4c12-8455-7055cd163174,132,5,king,arrow,1.0,104.633361866667,103.633361866667
00f292e6-594b-4254-8d14-5e20999e1380,3e3efb61-24e5-429d-852c-19f4e9fc411c,287,5,knight_attacker,contact,1.0,88.5162799999978,87.5162799999978
00f66094-b423-4569-bb77-282ee6326b6b,51e201a5-8671-4003-b7bf-2453a27f8181,330,5,king,arrow,1.0,80.8369070277915,79.8369070277915
00fbbff0-03f3-43f3-9b71-b75abc8db552,5f346316-7b98-4fed-9d5e-0aace5ac2f77,406,5,knight_attacker,contact,1.0,100.0,99.0
00ff7001-e4c2-4ba5-870d-339a5312f581,7c364856-4292-498d-ab1a-e6d80a700e44,349,5,king,arrow,1.0,97.4790895500005,96.4790895500005
0107766a-9f23-4d19-87da-d1888b3cef66,51e201a5-8671-4003-b7bf-2453a27f8181,313,5,knight_attacker,contact,1.0,81.5992288055662,80.5992288055662
010dea1d-eb1b-4022-9143-c7ae53f6492d,e5f697dc-6c6a-44a9-b2d4-33a751744ed0,237,5,archer,arrow,1.0,150.0,149.0
0111faca-08a1-46aa-9153-d040e64768f4,7033731e-be72-49f3-a158-88e7c4890a67,14,1,archer,arrow,1.0,49.0,48.0
01183549-70b0-4a45-b6ed-181349dc68b9,9e43f054-b7f0-4a0e-ab92-f14b62b69f0f,138,4,necromancer,following_projectile,1.0,75.0,74.0
012cf045-d9a4-4f54-acdc-0b33fe4c6b8c,c3d2f2ab-c4ef-4536-8eb3-12b6f72ca721,228,5,king,arrow,1.0,28.0900000000034,27.0900000000034
013295c4-5dbe-4abf-9643-1214274c0b8c,5f346316-7b98-4fed-9d5e-0aace5ac2f77,365,5,archer,arrow,1.0,96.990994799998,95.990994799998
013475e8-a5b5-47d9-9928-e2a5fb31afc8,0c5e03c1-121d-4c92-affb-7ee2298844f7,109,4,zombie,contact,1.0,62.2210033333315,61.2210033333315
01381c61-9927-4b63-ae02-bca34bd31683,af37841a-5da4-4b27-b085-5b56eaba9bf3,243,5,knight_defender,contact,1.0,75.4988278999995,74.4988278999995
0139189e-b3b5-49af-acfd-2e7d57fcb922,23740e2a-e875-442f-a84f-aba564335f30,392,5,knight_attacker,contact,1.0,68.5765337333246,67.5765337333246
013d88cd-e9e3-4f31-927b-8604f0a4fb23,288dd9db-2943-40d4-bfae-52d4a488fa95,171,5,king,arrow,1.0,296.125,295.125
0144e4ce-23f0-46e8-9436-7f5e394ce724,262290b4-7470-4bf4-b2bf-279c0874fdc2,103,3,archer,contact,1.0,49.03,48.03
014742fa-2980-4935-bcf1-2f35abebea2b,6ed179b4-89b7-43c6-822a-653ff5ce4b9d,242,5,king,arrow,1.0,108.880875944445,107.880875944445
014b5ccc-8bf4-45fc-9d9c-be19fe1349e4,7a2a5f50-6269-4136-867f-01efe12eb3b1,230,5,king,arrow,1.0,98.8443268,97.8443268
014b76b4-f5e0-4a71-b9da-9138facc9fff,035e4ae5-9b01-49a1-80bb-bfd33381c569,225,5,king,arrow,1.0,223.96,222.96
014d1b67-fddd-4746-9fb3-02f6c0992efe,7977afbe-8e55-42c2-93d8-26664e97cf4e,336,5,knight_defender,contact,1.0,124.9225,123.9225
01542ca8-605f-4d57-9f22-0016d0dbab21,23740e2a-e875-442f-a84f-aba564335f30,174,4,necromancer,following_projectile,1.0,74.08,73.08
0154d1aa-0cb8-465c-9b38-83db3814f262,a237dbf8-beeb-4a59-ab92-d49219739e0e,295,5,king,arrow,1.0,42.2949999999991,41.2949999999991
0154fb42-e099-4668-8306-1d48cd20b0f0,1032cea7-f187-49e0-9ef5-dab0008fd52b,104,3,necromancer,following_projectile,1.0,48.8172800333305,47.8172800333305
01628ad3-c393-45ef-a848-bec300638a28,858e8d70-6151-46c8-ae86-08a6672d77f6,169,5,knight_attacker,contact,1.0,98.01,97.01
0165d650-87fb-403d-8d24-5bc94162aa22,6f93e1ac-02d4-4851-9145-f230dc3f0436,211,5,archer,contact,1.0,74.0,73.0
0174c7eb-07d8-4e06-bd3c-eccd944d5778,3df9d1c6-fd5e-4041-ba8b-7a31b3d49eb4,145,5,archer,arrow,1.0,149.366666666656,148.366666666656
0175adad-2fc7-44e8-90d6-f7f16141bb3a,e7a3224f-83fb-4c12-8455-7055cd163174,78,3,enemy,contact,1.0,107.5,106.5
0176bd6d-1b86-428a-9ec7-0393243b9946,6f344d23-060f-487f-9a19-960432103187,183,5,king,arrow,1.0,223.776612266665,222.776612266665
017881d6-166c-4bd2-acb1-75947a24f5c8,eca21d22-361e-4144-ac20-b2387c331e66,179,5,king,arrow,1.0,105.049188179111,104.049188179111
0179ef56-30ff-4a28-9f43-42b7a3048cb1,b7927167-a7db-4e53-8ca9-c44109513a9c,119,3,enemy,contact,1.0,88.0334819454493,87.0334819454493
017aaa08-2286-4f25-9195-863834e20410,af37841a-5da4-4b27-b085-5b56eaba9bf3,339,5,king,arrow,1.0,43.6447359000055,42.6447359000055
0183d8df-6b39-4411-b949-ca01976b9ae2,6f344d23-060f-487f-9a19-960432103187,203,5,king,arrow,1.0,218.654363177767,217.654363177767
01848b19-13f4-4813-aafb-c4d8e6487a29,4548f910-9a55-4100-961c-f382f4bb860c,192,5,king,arrow,1.0,94.2994338500018,93.2994338500018
018e6bd5-c9ae-4490-8de3-fab52863ee41,d4278cff-e28c-4a9e-bfb9-0f0b9f7256e8,195,4,zombie,contact,1.0,43.5408333333222,42.5408333333222
